Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Flow Login,Chrome 126.0.0.0,,,29-07-2024 09:55:36,29-07-2024 09:58:15,2m - 39.463s,PASSED
,,,,,,,
Test Cases/01. Login - logout - managerial,Chrome 126.0.0.0,,,29-07-2024 09:55:36,29-07-2024 09:56:17,41.041s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,29-07-2024 09:55:37,29-07-2024 09:55:40,3.029s,PASSED
"navigateToUrl(""http://172.25.5.52:8383/login"")",Chrome 126.0.0.0,,,29-07-2024 09:55:40,29-07-2024 09:55:40,0.097s,PASSED
maximizeWindow(),Chrome 126.0.0.0,,,29-07-2024 09:55:40,29-07-2024 09:55:43,3.421s,PASSED
"click(findTestObject(""Object Repository/Login_Sarirasa WebPOS/input_ID Sarirasa_inputNIK""))",Chrome 126.0.0.0,,,29-07-2024 09:55:43,29-07-2024 09:55:44,0.690s,PASSED
"setText(findTestObject(""Object Repository/Login_Sarirasa WebPOS/input_ID Sarirasa_inputNIK""), ""54760"")",Chrome 126.0.0.0,,,29-07-2024 09:55:44,29-07-2024 09:55:45,0.739s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login_Sarirasa WebPOS/input_Password_inputPassword""), ""Cg+cUiY7xQqTg1iegvaWgg=="")",Chrome 126.0.0.0,,,29-07-2024 09:55:45,29-07-2024 09:55:45,0.445s,PASSED
"click(findTestObject(""Object Repository/Login_Sarirasa WebPOS/button_Login""))",Chrome 126.0.0.0,,,29-07-2024 09:55:45,29-07-2024 09:55:45,0.377s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Login_Sarirasa WebPOS/select_Tipe User Kasir 1Kasir 2Kasir 3Kasir_c131aa""), ""kasir_1"", true)",Chrome 126.0.0.0,,,29-07-2024 09:55:45,29-07-2024 09:55:48,2.249s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Login_Sarirasa WebPOS/select_Tipe User Kasir 1Kasir 2Kasir 3Kasir_c131aa""), ""kasir_2"", true)",Chrome 126.0.0.0,,,29-07-2024 09:55:48,29-07-2024 09:55:49,1.072s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Login_Sarirasa WebPOS/select_Tipe User Kasir 1Kasir 2Kasir 3Kasir_c131aa""), ""kasir_3"", true)",Chrome 126.0.0.0,,,29-07-2024 09:55:49,29-07-2024 09:55:50,1.049s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Login_Sarirasa WebPOS/select_Tipe User Kasir 1Kasir 2Kasir 3Kasir_c131aa""), ""kasir_4"", true)",Chrome 126.0.0.0,,,29-07-2024 09:55:50,29-07-2024 09:55:51,1.019s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Login_Sarirasa WebPOS/select_Tipe User Kasir 1Kasir 2Kasir 3Kasir_c131aa""), ""spv"", true)",Chrome 126.0.0.0,,,29-07-2024 09:55:51,29-07-2024 09:55:52,1.095s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Login_Sarirasa WebPOS/select_Pilih Default PrinterPrinter HO (Gud_45e032""), ""59"", true)",Chrome 126.0.0.0,,,29-07-2024 09:55:52,29-07-2024 09:55:53,1.086s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Login_Sarirasa WebPOS/select_Pilih Default PrinterPrinter HO (Gud_45e032""), ""75"", true)",Chrome 126.0.0.0,,,29-07-2024 09:55:53,29-07-2024 09:55:54,1.044s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Login_Sarirasa WebPOS/select_Pilih Default PrinterPrinter HO (Gud_45e032""), ""76"", true)",Chrome 126.0.0.0,,,29-07-2024 09:55:54,29-07-2024 09:55:55,1.098s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Login_Sarirasa WebPOS/select_Pilih Default PrinterPrinter HO (Gud_45e032""), ""77"", true)",Chrome 126.0.0.0,,,29-07-2024 09:55:55,29-07-2024 09:55:56,1.062s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Login_Sarirasa WebPOS/select_Pilih Default PrinterPrinter HO (Gud_45e032""), ""78"", true)",Chrome 126.0.0.0,,,29-07-2024 09:55:56,29-07-2024 09:55:57,1.007s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Login_Sarirasa WebPOS/select_Pilih Default PrinterPrinter HO (Gud_45e032""), ""79"", true)",Chrome 126.0.0.0,,,29-07-2024 09:55:57,29-07-2024 09:55:58,1.259s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Login_Sarirasa WebPOS/select_Pilih Default PrinterPrinter HO (Gud_45e032""), ""80"", true)",Chrome 126.0.0.0,,,29-07-2024 09:55:58,29-07-2024 09:56:00,1.170s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Login_Sarirasa WebPOS/select_Pilih Default PrinterPrinter HO (Gud_45e032""), ""81"", true)",Chrome 126.0.0.0,,,29-07-2024 09:56:00,29-07-2024 09:56:01,1.164s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Login_Sarirasa WebPOS/select_Pilih Default PrinterPrinter HO (Gud_45e032""), ""82"", true)",Chrome 126.0.0.0,,,29-07-2024 09:56:01,29-07-2024 09:56:02,1.158s,PASSED
